id_card,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20110392,450,2101,450,,,,,e20110392,
e20110714,450,2145,450,,,,,e20110714,
e20100649,450,2204,450,,,,,,
e20100135,450,2556,300,4406,150,,,,
e20100411,450,3458,225,5768,225,,,,
e2009452,450,3453,300,,,,,,
e20110305,450,5220,450,,,,,e20110305,
,,,,,,,,e20100571,
e20110665,500,3298,150,15,350,,,,
e20100263,0,,,,,,,,
e20120368,250,2142,250,,,,,,
e20100421,450,2783,450,,,,,,
e20130548,550,1017,280,4321,270,,,,
e20100468,450,3288,450,,,,,,
e20100984,225,1795,225,,,,,,
e20131219,0,,,,,,,,
e20110328,450,1603,225,3998,225,,,e20110328,
e20120151,250,1697,125,4762,125,,,,
e20100127,450,3749,100,5580,350,,,,
e20100056,450,2438,450,,,,,,
e2009313,450,1407,450,,,,,,
e20100482,450,5278,450,,,,,,
e20100511,450,1971,200,4867,250,,,,
,,,,,,,,e20100324,
,500,1761,250,3897,250,,,,
e20120307,0,,,,,,,,
e20100425,450,3230,450,,,,,,
e20100081,450,3173,200,5216,250,,,,
e20100313,450,3459,450,,,,,,
e20120387,500,2765,200,4643,300,,,,
e20110215,450,1847,450,,,,,e20110215,
e20100302,225,2655,225,,,,,,
e20110732,450,3384,450,,,,,e20110732,
e20120020,250,1852,125,4534,125,,,,
e20110121,450,1519,225,5141,225,,,e20110121,
e20110517,450,1954,230,4767,220,,,e20110517,
e20100121,450,3284,450,,,,,,
e20110634,450,2694,200,4786,250,,,e20110634,
e20100326,450,2637,450,,,,,,
e20100017,450,2460,450,,,,,,
e20110806,450,2547,225,5757,225,,,e20110806,
e20100342,450,2586,250,5528,200,,,,
e20100007,450,2473,450,,,,,,
e20100554,450,1776,200,5387,250,,,,
e20100558,450,2023,225,3708,225,,,,
e20100300,225,2083,100,4728,125,,,,
e20100423,0,,,,,,,,
e20140227,550,409,275,,,,,,
e20100133,450,3582,225,5442,225,,,,
e20100185,0,,,,,,,,
e20100223,450,,,,,,,,
e20110624,450,5608,450,,,,,e20110624,
e20130377,550,,,,,,,,
,0,,,,,,,,
,225,2028,112.5,3713,112.5,,,,
,450,3289,450,,,,,,
e20110347,450,3925,250,5338,200,,,e20110347,
e20100157,225,1714,225,,,,,,
e20100462,450,2837,450,,,,,,
e20100224,450,1914,450,,,,,,
e20120785,500,1435,500,,,,,,
e20100301,450,3355,250,4732,200,,,,
e20140591,550,978,275,2978,275,,,,
e20120178,550,4577,550,,,,,,
e20110469,450,1391,225,3740,225,,,e20110469,
