id_card,academic_year_id,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e2008318,2014,450,3476,225,5631,225,,,,
e2009258,2014,450,3335,450,,,,,,
e2009385,2014,450,2724,225,4088,225,,,,
e2008108,2014,450,3183,450,,,,,,
e20120270,2014,500,2209,250,5648,250,,,,
e2009528,2014,450,3231,225,5637,225,,,,
e2009009,2014,450,2358,450,,,,,,
e20130957,2014,200,1405,100,3623,100,,,,
e20100146,2014,0,,,,,,,,
e20111071,2014,450,4033,200,5876,250,,,,
e20131211,2014,450,1433,225,,,,,,
e20100513,2014,450,3287,225,5298,225,,,,
e2009392,2014,450,3469,230,5766,220,,,,
e20110585,2014,0,,,,,,,,
e2009207,2014,450,2750,450,,,,,,
e2009342,2014,450,1888,220,5685,230,,,,
e2009093,2014,450,2894,225,5639,225,,,,
e20110413,2014,450,2223,450,,,,,,
e20121076,2014,250,1802,125,5788,125,,,,
e2009114,2014,450,2461,220,5489,230,,,,
e2009203,2014,450,3185,450,,,,,,
e2009225,2014,450,5130,400,1780,50,,,,
e2009603,2014,0,,,,,,,,
e20111043,2014,200,,,,,,,,
e20100383,2014,450,3452,200,5548,250,,,,
e2009213,2014,450,2086,200,4561,250,,,,
e2009197,2014,0,,,,,,,,
e2009393,2014,450,3387,225,5879,225,,,,
e20111069,2014,450,2744,150,5831,300,,,,
e2009104,2014,450,2954,250,5484,200,,,,
e20100201,2014,450,2615,225,4897,225,,,,
e2009034,2014,450,2753,225,5630,225,,,,
e20100102,2014,450,2155,450,,,,,,
e2009614,2014,0,,,,,,,,
e20110161,2014,0,,,,,,,,
e2009442,2014,450,2148,450,,,,,,
e2009488,2014,450,3402,190,5862,260,,,,
e2009548,2014,450,2711,200,5754,250,,,,
e2009468,2014,450,3093,200,2330,250,,,,
e20121235,2014,450,1755,230,3859,220,,,,
e20110002,2014,450,2479,250,5167,200,,,,
e2009024,2014,450,4159,450,,,,,,
e2009110,2014,450,2769,225,5605,225,,,,
e2009583,2014,450,2127,450,,,,,,
e2009189,2014,0,,,,,,,,
e2009159,2014,0,,,,,,,,
e2009242,2014,0,,,,,,,,
e2009340,2014,450,4171,450,,,,,,
e2009196,2014,450,1801,400,,50,,,,
e2009679,2014,450,3098,100,3924,200,5429,150,,
e20100299,2014,450,4750,450,,,,,,
e2009400,2014,225,1574,100,5276,125,,,,
e20121164,2014,250,1550,125,5784,125,,,,
e2009116,2014,450,3102,250,5799,200,,,,
e2009382,2014,0,,,,,,,,
e2009571,2014,450,3244,150,5715,300,,,,
e2009399,2014,450,1870,210,5142,240,,,,
e20111079,2014,225,4905,100,5750,125,,,,
e20100536,2014,450,1605,450,,,,,,
e20100813,2014,100,3013,100,,,,,,
e20110194,2014,225,2835,100,5712,125,,,,
e2009204,2014,225,2984,225,,,,,,
e2009414,2014,450,4547,200,2090,250,,,,
e20100047,2014,450,3320,200,5412,250,,,,
